index,title,original_language,release_date,popularity,vote_average,vote_count,overview,
18,Fear the Night,en,21/07/2023,894.241,6.7,91,"During a bachelorette party in a secluded California farmhouse, masked intruders launch a brutal attack, forcing eight women to fight for survival. Led by Tess, a troubled military veteran, they unite to defend themselves throughout a harrowing night.",
19,Shin Kamen Rider,ja,17/03/2023,864.834,7.2,152,"A man forced to bear power and stripped of humanity. A woman skeptical of happiness. Takeshi Hongo, an Augmentation made by SHOCKER, and Ruriko Midorikawa, a rebel of the organization, escape while fighting off assassins. Whatâ€™s justice? Whatâ€™s evil? Will this violence end? Despite his power, Hongo tries to remain human. Along with freedom, Ruriko has regained a heart. What paths will they choose?",
20,"Miraculous: Ladybug & Cat Noir, The Movie",fr,05/07/2023,843.798,7.9,459,"A life of an ordinary Parisian teenager Marinette goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city.",
21,Justice League: Warworld,en,25/07/2023,836.395,7.4,139,"Until now, the Justice League has been a loose association of superpowered individuals. But when they are swept away to Warworld, a place of unending brutal gladiatorial combat, Batman, Superman, Wonder Woman and the others must somehow unite to form an unbeatable resistance able to lead an entire planet to freedom.",
22,"Ruby Gillman, Teenage Kraken",en,28/06/2023,821.236,7.6,527,"Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",
23,Oppenheimer,en,19/07/2023,810.697,8.3,1929,The story of J. Robert Oppenheimerâ€™s role in the development of the atomic bomb during World War II.,
24,Mavka: The Forest Song,uk,02/03/2023,715.241,7.4,307,"Mavka â€” a Soul of the Forest and its Warden â€” faces an impossible choice between love and her duty as guardian to the Heart of the Forest, when she falls in love with a human â€” the talented young musician Lukas.",
25,John Wick: Chapter 4,en,22/03/2023,714.255,7.8,4149,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",
26,Kingdom 3: The Flame of Fate,ja,28/07/2023,711.472,8.2,37,"It follows Li Xin and Wang Qi as they stand on the battlefield for the first time to fight off an invasion by Zhao, and it also follows Ying Zheng's unknown past.",
27,The Super Mario Bros. Movie,en,05/04/2023,699.22,7.8,6232,"While working underground to fix a water main, Brooklyn plumbersâ€”and brothersâ€”Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",
28,Warhorse One,en,30/06/2023,695.525,7.3,156,A gunned down Navy SEAL Master Chief must guide a child to safety through a gauntlet of hostile Taliban insurgents and survive the brutal Afghanistan wilderness.,
29,Heart of Stone,en,09/08/2023,674.892,7.1,394,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable â€” and dangerous â€” weapon.,
30,Astonishing Tales of Terror: Rocktapussy!,en,27/09/2022,659.016,6,5,A group of everyday heroes encounter the fight of their lives in the deep mines of Northern Ontario where they unwittingly awaken an ancient giant octopus.,
31,The Seven Deadly Sins: Grudge of Edinburgh Part 2,ja,08/08/2023,637.917,8.6,33,"Reunited with Lancelot for the first time since their tragic accident, Tristan must learn to conquer his inner demons in order to save his mother's life.",
32,"Red, White & Royal Blue",en,27/07/2023,603.792,8.4,361,"After an altercation between Alex, the president's son, and Britain's Prince Henry at a royal event becomes tabloid fodder, their long-running feud now threatens to drive a wedge in U.S./British relations. When the rivals are forced into a staged truce, their icy relationship begins to thaw and the friction between them sparks something deeper than they ever expected.",
33,Knights of the Zodiac,en,27/04/2023,596.191,6.7,736,"When a headstrong street orphan, Seiya, in search of his abducted sister unwittingly taps into hidden powers, he discovers he might be the only person alive who can protect a reincarnated goddess, sent to watch over humanity. Can he let his past go and embrace his destiny to become a Knight of the Zodiac?",
34,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,en,21/07/2023,584.016,7.1,39,"A nationwide manhunt for Hank Venture leads to untold dangers and unexpected revelations, while The Monarch is literally out for Dr Venture's blood. An imposing evil from the past reemerges to wreak havoc on the Ventures, The Guild, and even the Monarch marriageâ€”it will take friends and foes alike to restore the Ventures' world to orderâ€? or end it once and for all.",
35,Talk to Me,en,26/07/2023,575.662,7,157,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",
36,The Outwaters,en,09/02/2023,568.224,4.6,31,Four travelers encounter menacing phenomena while camping in a remote stretch of the Mojave Desert.,
37,La Leyenda de los Chaneques,es,14/07/2023,495.16,8.5,153,"Five years after giving up his powers and separating from his friends, Leo San Juan has started a new life trying to focus on his family and their bakery, staying away from danger and adventures. However, Leo knows that his plans are rarely fulfilled and this time is no exception: while traveling with Nando to Veracruz, things start to get weird, and from the depths of the Tuxtlas jungle, an ancient curse has returned and only Leo can face it.",
38,Sound of Freedom,en,03/07/2023,477.901,8.2,361,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",
39,What the Waters Left Behind: Scars,es,27/04/2023,474.006,6,1,"An Anglo-American indie rock band winds up stranded in EpecuÃ©n, where their internal conflicts and the bad luck of their tour quickly lose importance before the hell that awaits them.",
40,Mission: Impossible - Dead Reckoning Part One,en,08/07/2023,466.303,7.8,986,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his missionâ€”not even the lives of those he cares about most.",
41,The Meg,en,09/08/2018,452.712,6.2,6799,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",
42,Avatar: The Way of Water,en,14/12/2022,433.483,7.7,9472,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",
43,The Gates,en,18/11/2022,424.286,7.5,10,"A serial killer has been sentenced to death by electric chair in London in the 1890s, but in his final hours, he puts a curse on the prison he is in, and all of those in it.",
44,Jericho Ridge,en,14/07/2023,423.445,7,3,"North Washington county sheriff Tabby finds herself alone in the sheriffâ€™s office one night while her colleagues are out on patrol, but she soon finds out theyâ€™ve been set up by a murderous drug cartel while she herself comes under siege at the office, where she must battle desperately to save herself and her son.",
45,San Andreas,en,27/05/2015,418.772,6.2,7931,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",
46,My Fault,es,08/06/2023,418.604,8.2,1462,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",
47,One Piece Film Red,ja,06/08/2022,407.229,7.4,622,"Uta â€” the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as â€œotherworldly.â€ù She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans â€” excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance â€” the voice that the whole world has been waiting for is about to resound.",
48,Puss in Boots: The Last Wish,en,07/12/2022,391.677,8.3,6163,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",
49,Extraction 2,en,09/06/2023,378.036,7.5,1625,"Tasked with extracting a family who is at the mercy of a Georgian gangster, Tyler Rake infiltrates one of the world's deadliest prisons in order to save them. But when the extraction gets hot, and the gangster dies in the heat of battle, his equally ruthless brother tracks down Rake and his team to Vienna, in order to get revenge.",
50,Older Gods,en,01/03/2023,368.285,5.1,14,"After the disappearance of his troubled friend, American Chris Rivers travels to the remote Welsh countryside to investigate what happened â€“ leading him to a dark apocalyptic cult.",
51,Zoey 102,en,27/07/2023,363.292,7.1,93,Pacific Coast Academy alumni return to Malibu for an over-the-top wedding that turns into a high school reunion for the books.,
52,Hypnotic,en,11/05/2023,354.435,6.5,395,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,
53,The Darkest Minds,en,25/07/2018,332.832,7,2563,"After a disease kills 98% of America's children, the surviving 2% develop superpowers and are placed in internment camps. A 16-year-old girl escapes her camp and joins a group of other teens on the run from the government.",
54,Guy Ritchie's The Covenant,en,19/04/2023,332.432,7.8,1395,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",
55,War of the Worlds: The Attack,en,21/04/2023,315.586,5.3,88,Three young astronomers fight to survive a deadly Martian invasion.,
56,Los Habitantes,es,27/04/2023,313.414,6.9,46,,
57,The Pope's Exorcist,en,05/04/2023,309.912,7.2,1768,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",
58,Fresh,en,03/03/2022,309.043,7,1234,"Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store.",
59,Shadow Master,en,03/11/2022,305.277,6.9,73,"After being slain by a group of criminals, a man is reborn with animal-like superpowers and makes it his mission to right the wrongs of his city.",
60,Mr. Car and the Knights Templar,pl,12/07/2023,303.482,6.4,96,"A well-known art historian, treasure hunter and owner of an unusual car stumbles upon a Templar treasure, which is the key to a great power that can upset the balance of good and evil in the world. Supported by friendly scouts, Mr. Car starts a big race against time and a hostile organization, the stake of which is the heritage of knightly orders.",
61,The Black Demon,en,26/04/2023,298.443,6.3,429,"Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.",
62,Ant-Man and the Wasp: Quantumania,en,15/02/2023,297.577,6.5,3777,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",
63,Blue Beetle,en,16/08/2023,293.033,7.5,21,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",
64,Sisu,fi,27/01/2023,288.236,7.5,1171,"Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",
65,The Out-Laws,en,07/07/2023,286.419,6.2,421,"A straight-laced bank manager is about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.",
66,American Girl: Corinne Tan,en,28/07/2023,284.553,6.5,4,"13-year-old Corrine deals with her parents' recent divorce while everyone else is already adapted to their new roles as a blended family, challenging herself to train a rambunctious puppy as she discovers her new purpose.",
67,Evil Dead Rise,en,12/04/2023,283.875,7,2114,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",
68,Confidential Informant,en,27/06/2023,282.524,6.5,82,"During a crack epidemic two narcotics agents hunting for a cop killer. Hoping for leads, Moran and Thorton pay off a junkie informant. To provide for his wife and son, Moran involves the stool pigeon in a deadly scheme. This causes the partners to come under the scrutiny of a suspicious internal affairs agent.",
69,Mortal Kombat Legends: Scorpion's Revenge,en,12/04/2020,275.392,8.2,1265,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, heâ€™s given a chance to avenge his family â€“ and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors â€“ Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage â€“ an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsungâ€™s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",
70,Megalodon,en,10/08/2018,272.23,5.7,254,"A military vessel on the search for an unidentified submersible finds themselves face to face with a giant shark, forced to use only what they have on board to defend themselves from the monstrous beast.",
71,The Conjuring: The Devil Made Me Do It,en,25/05/2021,266.863,7.5,5296,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",
72,God Is a Bullet,en,22/06/2023,254.88,6.4,85,"Based on true events and the novel of the same name. Vice detective Bob Hightower finds his ex-wife murdered and daughter kidnapped by a cult. Frustrated by the botched official investigations, he quits the force and infiltrates the cult to hunt down the leader with the help of the cultâ€™s only female victim escapee, Case Hardin.",
73,Indiana Jones and the Dial of Destiny,en,28/06/2023,248.864,6.6,940,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",
74,Insidious: The Last Key,en,03/01/2018,247.844,6.3,2623,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a manâ€™s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her familyâ€™s old home.",
75,Bite Night,en,12/01/2022,241.922,8,3,'Haunted Honeymoon' meets 'My Best Friend is a Vampire' meets 'Clue'. When three beautiful ladies manage to grab the attention of a group of punks with their enchanting voices. They become the lucky guests or rather victims of the house of Valice. However the tables turn quite suddenly when the ladies realize they are in fact the unfortunate victims of the madness which they themselves created.,
76,Shazam! Fury of the Gods,en,15/03/2023,239.926,6.7,2260,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",
77,Oink,nl,01/07/2022,239.632,7.8,22,A young girl sets out to prove to her disapproving mother she can house-train the endearing but unruly little piglet she gets as a birthday gift from her estranged oddball grandfather.,
78,Mortal Kombat Legends: Battle of the Realms,en,31/08/2021,236.342,7.7,380,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",
79,A Good Day to Die Hard,en,06/02/2013,236.091,5.3,5995,"Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",
80,Creed III,en,01/03/2023,233.985,7.2,1882,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian â€” a fighter with nothing to lose.",
81,Spider-Man: No Way Home,en,15/12/2021,232.469,8,18030,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",
82,Sheroes,en,23/06/2023,231.636,6.4,89,"When four thick-as-thieves friends arrive in Thailand, they quickly find themselves in over their heads. Fighting to stay alive, they employ their unique set of skills and unleash their fierce loyalty in a heart-pumping battle for survival.",
83,Encanto,en,13/10/2021,230.427,7.6,8479,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the familyâ€”every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",
84,Bird Box Barcelona,es,14/07/2023,227.216,6.1,418,"After a mysterious force decimates the worldâ€™s population, Sebastian must navigate his own survival journey through the desolate streets of Barcelona. As he forms uneasy alliances with other survivors and they try to escape the city, an unexpected and even more sinister threat grows.",
85,The Wrath of Becky,en,26/05/2023,225.934,6.7,118,"Two years after she escaped a violent attack on her family, 16-year-old Becky attempts to rebuild her life in the care of an older woman -- a kindred spirit named Elena. However, when a violent group known as the Noble Men break into their home, attack them and take their beloved dog, Becky must return to her old ways to protect herself and her loved ones.",
86,Teenage Mutant Ninja Turtles: Mutant Mayhem,en,31/07/2023,225.435,7.4,171,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",
87,Quicksand,en,31/08/2023,225.156,0,0,A married couple on the brink of divorce becomes trapped in quicksand while hiking through a Colombian rainforest. Itâ€™s a struggle for survival as they battle the elements of the jungle and must work together in order to escape.,
88,Bad City,ja,05/07/2022,223.275,6.7,41,"Kensuke Sonomura directs the legendary Hitoshi Ozawa in this ultimate V-Cinema actioner.  Kaiko City is plagued with poverty and crime. When a corrupt businessman decides to run for mayor and starts eliminating opponents from the rival mafia, a former police captain serving time for murder is secretly released and put in charge of a special task force to arrest him.",
89,Black Panther: Wakanda Forever,en,09/11/2022,221.774,7.2,5295,"Queen Ramonda, Shuri, Mâ€™Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King Tâ€™Challaâ€™s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",
90,GANTZ:O,ja,14/10/2016,217.417,7.3,673,"After being brutally murdered in a subway station, a teen boy awakens to find himself resurrected by a strange computer named Gantz, and forced to fight a large force of invading aliens in Osaka.",
91,Scream VI,en,08/03/2023,214.651,7.2,1614,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",
92,Coraline,en,05/02/2009,212.652,7.8,6806,"A young girl discovers an idealized parallel universe behind a secret door in her new home, unaware that it contains a sinister secret.",
93,Cold Eyes,ko,03/07/2013,210.065,7.5,295,"Ha Yoon-ju becomes the newest member of a unit within the Korean Police Forces Special Crime Department that specializes in surveillance activities on high-profile criminals. She teams up with Hwang Sang-jun, the veteran leader of the unit, and tries to track down James who is the cold-hearted leader of an armed criminal organization.",
94,Forrest Gump,en,23/06/1994,209.853,8.5,25159,"A man with a low IQ has accomplished great things in his life and been present during significant historic eventsâ€”in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",
95,Black Adam,en,19/10/2022,208.402,7,5335,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian godsâ€”and imprisoned just as quicklyâ€”Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",
96,Little Bone Lodge,en,11/03/2023,204.109,7.4,163,"During a stormy night in the Scottish Highlands, two criminal brothers on the run seek refuge in a desolate farmhouse. But after taking the resident family captive, they find the house holds even darker secrets of its own.",
97,My House,en,07/03/2023,203.283,5.6,21,"Carla lives life locked inside her house with her kind but tyrannical father. When their isolation is interrupted by a mysterious stranger, Carla questions the reasons for her family's withdrawal from the outside world and discovers dark secrets that redefine their existence.",
98,Eradication,en,15/07/2022,201.085,6.5,101,"When an unknown disease wipes out most of the worldâ€™s population, a man with unique blood is isolated for study. Fearing for his wifeâ€™s safety, he breaks his quarantine â€“ into a world overrun by monstrous Infected and a shadowy agency hunting them down.",
99,Suzume,ja,11/11/2022,200.524,7.8,566,"Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",
100,Eradication,en,15/07/2022,201.085,6.5,101,"When an unknown disease wipes out most of the worldâ€™s population, a man with unique blood is isolated for study. Fearing for his wifeâ€™s safety, he breaks his quarantine â€“ into a world overrun by monstrous Infected and a shadowy agency hunting them down.",
101,Suzume,ja,11/11/2022,200.524,7.8,566,"Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",
102,Deep Sea,zh,22/01/2023,192.768,7.3,47,"Shenxiu has felt a deep sadness since her mother left. A storm plunges her into a dreamlike, 3D world of swirling colour. Led by the Hyjinx, and joined by inventive underwater chef Nanhe, she embarks on a quest to find solace in the Eye of the Deep Sea.",
103,Gran Turismo,en,09/08/2023,197.718,7.2,77,The ultimate wish fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,
104,Youthful Older Sister,ko,15/03/2018,189.379,0,0,"A young man grows up with his older cousin who is like an older sister to him. When he grows up, he goes to visit her at her home where her friend is also visiting. The three of them under roof make for some interesting circumstances.",
105,Ghosted,en,18/04/2023,188.775,7.1,1197,"Salt-of-the-earth Cole falls head over heels for enigmatic Sadie â€” but then makes the shocking discovery that sheâ€™s a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",
106,Black Clover: Sword of the Wizard King,ja,16/06/2023,187.207,8.3,177,"As a lionhearted boy who canâ€™t wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",
107,Avengers: Infinity War,en,25/04/2018,187.191,8.3,27462,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",
108,The Last Voyage of the Demeter,en,09/08/2023,187.129,7.8,34,The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,
109,El hotel de los lÃ?os. GarcÃ?a y GarcÃ?a 2,es,24/03/2023,186.861,4.9,14,,
110,M3GAN,en,28/12/2022,186.452,7.3,3012,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",
111,The Lorax,en,01/03/2012,185.143,6.5,3146,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",
112,Spider-Man: Into the Spider-Verse,en,06/12/2018,184.789,8.4,13769,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",
